id,successors
48,"184,105"
37,"2,135"
185,"113,198,121,163"
27,159
81,37
201,"176,82"
80,"19,85"
40,"12,15"
106,",55"
200,
55,"94,202"
96,"200,127"
6,63
189,170
142,
102,67
188,"193,116"
179,"151,124"
129,109
172,62
51,"196,61"
23,14
47,134
56,171
149,"60,7"
11,"43,162"
43,
78,165
1,
62,
44,
71,87
87,136
126,"181,73"
141,"120,35"
105,"146,32"
69,184
84,108
157,107
153,156
64,"164,104,132"
162,"164,104,153,132"
125,"32,64"
3,"116,102"
193,152
39,"25,158"
150,"118,178,86,52"
92,58
110,"65,194"
155,187
144,"173,183"
90,192
138,18
79,83
97,71
136,"197,38"
115,"126,168,111,35"
120,"59,0"
18,4
21,79
73,166
28,141
13,"160,167"
161,"143,77"
36,"36,182"
191,175
187,36
175,144
131,"139,50"
128,137
114,"46,203,24"
74,"121,20"
184,
146,112
67,"22,99,88"
66,188
108,6
170,157
202,186
127,"142,94"
169,"97,38"
197,"31,166,57"
165,3
152,1
123,199
174,33
166,97
38,28
101,"141,73"
181,"28,5"
32,"104,133,10,153"
164,"69,122"
88,86
118,"22,66"
8,115
59,"45,95,195"
158,103
119,"100,150"
15,92
65,"81,145"
82,"81,145"
176,92
194,80
4,130
76,21
192,138
83,"49,110,70"
91,101
5,75
24,155
173,74
46,40
2,",74"
135,155
183,40
103,131
137,119
63,179
109,189
139,185
68,"27,128"
159,114
121,
163,201
19,27
151,27
113,129
186,84
107,142
34,91
75,
156,"118,89,39,52"
86,64
42,8
45,147
171,42
147,149
130,56
7,76
182,180
17,191
180,23
134,17
14,26
53,30
26,41
98,53
41,"29,172"
61,98
196,44
30,47
58,"117,90"
54,177
143,190
199,54
190,174
93,169
140,93
57,154
16,140
154,72
160,16
72,9
9,"167,161"
177,"148,13"
